soilseries_id,planting_time,area,soil,rotate_plant_type,cultivation_period,weed_category,weed_type,weed_remove,weed_remove_drug,grass_killer,fertilizing,fertilizer_name,fertilizer_volume_kg,hormone,hormone_volume_liter,product_volume_ton
10,1,3,2,1,8,1,1,1,1,1,1,1,50,1,42,61
11,0,3,1,2,0,2,2,2,2,1,1,1,30,1,10,94
1,0,1,4,3,0,3,3,3,2,2,1,2,87,1,13,94
1,1,1,4,3,12,3,4,1,2,1,0,0,53,1,17,14
2,1,1,1,1,8,1,5,3,2,1,1,2,2,1,35,11
3,0,1,1,1,8,2,6,1,1,1,1,1,12,1,71,19
22,0,3,2,2,8,1,7,2,1,2,1,1,37,1,76,41
13,1,3,4,1,0,1,8,1,2,2,0,0,37,1,75,25
14,1,1,4,3,9,1,1,2,2,1,1,1,40,0,40,20
22,0,3,1,3,9,2,2,2,1,1,1,2,95,1,21,21
1,0,3,1,3,9,3,7,2,1,1,1,1,4,1,68,91
2,1,3,1,1,10,3,7,1,2,2,1,2,32,1,11,39
10,1,1,1,1,8,1,7,2,0,0,1,2,16,0,64,56
11,0,1,1,2,0,2,8,2,0,0,1,2,53,1,52,96
12,0,1,2,1,0,3,3,1,2,1,1,2,81,1,40,98
13,0,2,4,2,8,1,4,3,2,1,1,2,75,1,69,13
14,0,3,4,1,8,2,5,3,1,2,1,1,75,1,31,69
15,1,1,1,3,8,3,6,1,2,1,1,2,15,1,42,54
16,0,3,2,1,8,3,2,1,1,1,1,2,5,1,40,88
17,0,3,2,1,10,3,3,3,2,1,1,2,87,0,15,15
22,1,3,2,2,8,3,3,3,1,1,1,1,12,1,37,43
14,1,1,1,1,8,1,3,1,2,1,1,1,18,1,15,94
15,1,1,1,3,9,2,3,3,1,2,1,1,99,1,88,67
22,1,1,4,1,8,3,4,0,2,2,1,1,14,1,60,11
22,0,3,2,3,8,3,5,3,2,2,0,0,49,1,77,89
23,0,3,2,1,0,3,6,1,2,1,1,2,26,1,19,73
24,1,2,2,3,0,1,7,1,2,2,1,2,11,1,31,23
14,1,1,2,1,11,2,7,3,1,2,1,2,33,1,38,97
15,1,1,2,1,11,3,2,2,2,2,1,2,58,1,88,73
22,0,2,2,1,11,3,7,3,2,1,1,2,61,1,56,20
29,0,3,1,3,11,3,1,1,1,1,1,2,10,1,100,26
30,1,2,1,1,11,3,7,3,1,1,1,1,98,1,58,42
15,1,2,2,1,0,1,1,2,1,1,0,0,87,1,72,13
4,1,2,2,1,8,2,1,3,1,1,1,2,6,1,78,12
5,1,2,2,2,8,1,7,3,0,1,1,1,10,1,1,72
6,0,3,2,2,8,2,1,3,0,1,1,2,92,0,71,97
7,0,1,2,1,8,3,7,2,1,1,1,2,79,1,3,17
8,1,3,2,2,8,3,2,3,1,2,1,2,62,1,77,42
9,1,3,2,2,8,1,2,3,0,2,1,1,42,1,11,57
27,1,2,1,2,8,2,2,1,0,2,1,2,41,1,50,92
28,0,2,1,3,0,3,7,3,0,0,0,0,65,1,18,51
28,0,2,2,1,0,3,7,3,1,2,1,2,81,1,88,37
16,1,2,2,2,8,3,6,3,2,0,1,2,35,1,89,60
17,1,3,2,2,0,3,7,1,2,0,1,2,48,1,9,35
32,1,3,1,2,0,3,3,3,1,1,1,1,53,1,91,12
18,0,2,1,2,8,2,7,2,2,1,1,2,90,1,95,15
19,0,1,2,3,8,2,7,3,1,1,1,1,14,1,66,63
20,0,1,2,2,8,2,3,1,2,1,0,0,21,1,31,92
21,0,3,1,2,8,2,3,1,1,1,1,2,100,0,38,90
21,1,3,1,3,0,2,4,2,2,1,0,0,14,1,27,66
10,1,3,2,1,8,1,1,1,1,1,1,1,51,1,99,36
11,0,3,1,2,0,2,2,2,2,1,1,1,55,1,76,53
1,0,1,4,3,0,3,3,3,2,2,1,2,20,1,24,47
1,1,1,4,3,12,3,4,1,2,1,0,0,27,1,9,34
2,1,1,1,1,8,1,5,3,2,1,1,2,21,1,43,27
3,0,1,1,1,8,2,6,1,1,1,1,1,100,1,39,73
22,0,3,2,2,8,1,7,2,1,2,1,1,16,1,45,46
13,1,3,4,1,0,1,8,1,2,2,0,0,21,1,92,40
14,1,1,4,3,9,1,1,2,2,1,1,1,17,0,11,41
22,0,3,1,3,9,2,2,2,1,1,1,2,14,1,35,42
1,0,3,1,3,9,3,7,2,1,1,1,1,29,1,24,81
2,1,3,1,1,10,3,7,1,2,2,1,2,13,1,18,75
10,1,1,1,1,8,1,7,2,0,0,1,2,51,0,97,55
11,0,1,1,2,0,2,8,2,0,0,1,2,73,1,20,96
12,0,1,2,1,0,3,3,1,2,1,1,2,67,1,89,86
13,0,2,4,2,8,1,4,3,2,1,1,2,56,1,35,42
14,0,3,4,1,8,2,5,3,1,2,1,1,76,1,87,76
15,1,1,1,3,8,3,6,1,2,1,1,2,35,1,5,92
16,0,3,2,1,8,3,2,1,1,1,1,2,1,1,96,79
17,0,3,2,1,10,3,3,3,2,1,1,2,68,0,81,23
22,1,3,2,2,8,3,3,3,1,1,1,1,3,1,48,55
14,1,1,1,1,8,1,3,1,2,1,1,1,20,1,87,24
15,1,1,1,3,9,2,3,3,1,2,1,1,61,1,21,95
22,1,1,4,1,8,3,4,0,2,2,1,1,76,1,86,15
22,0,3,2,3,8,3,5,3,2,2,0,0,41,1,23,92
23,0,3,2,1,0,3,6,1,2,1,1,2,96,1,47,60
24,1,2,2,3,0,1,7,1,2,2,1,2,89,1,38,19
14,1,1,2,1,11,2,7,3,1,2,1,2,28,1,35,79
15,1,1,2,1,11,3,2,2,2,2,1,2,90,1,3,56
22,0,2,2,1,11,3,7,3,2,1,1,2,72,1,24,84
29,0,3,1,3,11,3,1,1,1,1,1,2,95,1,58,25
30,1,2,1,1,11,3,7,3,1,1,1,1,26,1,77,47
15,1,2,2,1,0,1,1,2,1,1,0,0,71,1,57,28
4,1,2,2,1,8,2,1,3,1,1,1,2,28,1,3,84
5,1,2,2,2,8,1,7,3,0,1,1,1,86,1,64,10
6,0,3,2,2,8,2,1,3,0,1,1,2,35,0,30,80
7,0,1,2,1,8,3,7,2,1,1,1,2,33,1,58,57
8,1,3,2,2,8,3,2,3,1,2,1,2,100,1,22,21
9,1,3,2,2,8,1,2,3,0,2,1,1,36,1,86,70
27,1,2,1,2,8,2,2,1,0,2,1,2,64,1,43,86
28,0,2,1,3,0,3,7,3,0,0,0,0,35,1,16,51
28,0,2,2,1,0,3,7,3,1,2,1,2,97,1,59,36
16,1,2,2,2,8,3,6,3,2,0,1,2,48,1,94,47
17,1,3,2,2,0,3,7,1,2,0,1,2,8,1,22,98
32,1,3,1,2,0,3,3,3,1,1,1,1,96,1,18,72
18,0,2,1,2,8,2,7,2,2,1,1,2,62,1,20,49
19,0,1,2,3,8,2,7,3,1,1,1,1,89,1,67,67
20,0,1,2,2,8,2,3,1,2,1,0,0,50,1,94,23
21,0,3,1,2,8,2,3,1,1,1,1,2,46,0,34,39
21,1,3,1,3,0,2,4,2,2,1,0,0,65,1,90,44
21,1,3,1,3,0,2,4,2,2,1,0,0,17,1,79,61
